org/repo,size_kb,languages,file_count,build_systems,has_dockerfile,has_k8s,has_ci,license,last_commit,default_branch
myonsite-healthcare/ATS,83344,"JSON(23), Python(44), TypeScript(45), Markdown(41), CSS(19), YAML(30), Bourne Shell(14), Dockerfile(11), SQL(3), JavaScript(11), HCL(2), INI(1), HTML(1), TOML(2)",327,"npm, pip, docker",True,False,True,unknown,2025-08-18,main
myonsite-healthcare/AutoBidPro,11792,"JSON(36), Markdown(66), Python(121), TypeScript(75), Bourne Shell(14), YAML(42), make(2), HTML(2), Dockerfile(5), HCL(3), SQL(1), TOML(1)",461,"docker, make, docker-compose, pip, npm",True,False,True,unknown,2025-08-20,main
myonsite-healthcare/MedinovAI-AI-Standards,257784,"Markdown(213), JSON(38), Python(52), YAML(96), JavaScript(71), Bourne Shell(42), TypeScript(10), SVG(39), Bourne Again Shell(4), SQL(4), make(2), HTML(8), CSS(6), HCL(9), Protocol Buffers(1), Dockerfile(3), INI(1), TOML(2), CSV(3)",919,"npm, pip, docker, docker-compose, make",True,True,True,unknown,2025-09-26,main
myonsite-healthcare/MedinovAI-Chatbot,622688,"Python(4324), Markdown(864), JavaScript(893), JSON(753), YAML(1600), C(3), HTML(290), XML(84), TypeScript(116), Bourne Shell(140), Swift(195), SVG(694), Dockerfile(371), C#(11), CSS(31), JSX(12), Cython(6), HCL(15), Kotlin(7), PHP(5), C/C++ Header(26), Objective-C(8), Rust(4), C++(5), make(1), PowerShell(3), Go(3), TOML(4), Gradle(1), INI(2), SQL(16), DOS Batch(3), CSV(3), Bourne Again Shell(1), Fish Shell(1), Jupyter Notebook(1)",21303,"docker, docker-compose, npm, pip, make, gradle",True,True,True,unknown,2025-08-20,main
myonsite-healthcare/medinovai-data-services,76276,"Python(1123), JSON(44), Markdown(59), YAML(38), TypeScript(52), Bourne Shell(21), C/C++ Header(39), C++(15), HCL(2), Cython(6), CSS(3), JavaScript(3), HTML(4), C(2), Protocol Buffers(2), Dockerfile(11), C#(13), SQL(3), XML(4), CSV(6), Assembly(2), Rust(1), Swift(2), Kotlin(1), TOML(4), make(1), INI(2), Visual Studio Solution(1), reStructuredText(1), Gradle(1), MSBuild script(1), C# Generated(1), DOS Batch(1)",2800,"docker, make, npm, pip, docker-compose",True,False,True,unknown,2025-09-08,main
myonsite-healthcare/medinovaios,1875328,"Markdown(15983), diff(47), Python(3523), JSON(713), YAML(3078), CSV(28), Bourne Shell(256), HTML(52), JavaScript(446), TypeScript(82), Go(55), Dockerfile(383), SQL(27), JSX(16), C/C++ Header(39), C++(15), CSS(10), HCL(9), Rust(5), C#(30), Cython(6), make(14), Bourne Again Shell(8), C(2), Protocol Buffers(2), PowerShell(2), XML(4), TOML(6), SVG(4), INI(5), Assembly(2), MSBuild script(9), Fish Shell(2), Swift(2), Kotlin(1), Visual Studio Solution(1), C Shell(2), reStructuredText(1), Gradle(1), C# Generated(1), DOS Batch(1)",145788,"docker, make, docker-compose, npm, pip",True,True,True,unknown,2025-09-18,main
myonsite-healthcare/medinovai-Developer,36020,"Markdown(43), YAML(12), JSON(12), Python(17), Bourne Shell(6), HTML(2), Dockerfile(5), Protocol Buffers(1), TypeScript(2), SQL(1)",170,"pip, docker, npm",True,False,True,unknown,2025-09-20,main
myonsite-healthcare/medinovai-Uiux,453696,"YAML(2704), JSON(32), Markdown(74), JSX(109), JavaScript(51), XML(1), Python(23), Bourne Shell(7), TypeScript(22), CSS(4), CSV(1), SQL(1), HTML(3), Dockerfile(4), TOML(1), INI(1), SVG(1)",3593,"npm, docker, docker-compose, pip",True,False,True,unknown,2025-08-24,main
myonsite-healthcare/manus-consolidation-platform,5952,"YAML(99), Markdown(114), C#(127), Python(53), TypeScript(54), HCL(6), SQL(8), Bourne Shell(6), JSON(3), MSBuild script(17), JavaScript(3), CSS(2), Lua(1), Dockerfile(4), TOML(2), HTML(1), CSV(1)",597,pip,False,False,True,unknown,2025-08-20,main
myonsite-healthcare/ComplianceManus,341592,"JavaScript(8986), Python(1059), TypeScript(2170), Markdown(503), JSON(637), YAML(57), JSX(48), CSS(13), C/C++ Header(39), C++(15), HTML(7), Cython(6), Bourne Shell(39), Windows Module Definition(5), C(2), PHP(1), Assembly(2), PowerShell(1), XML(7), Bourne Again Shell(2), Fish Shell(1), SVG(3), TOML(2), reStructuredText(1), Nix(1), C Shell(1), Dockerfile(1), DOS Batch(1)",22003,"npm, pip",False,False,True,unknown,2025-08-20,main
