Subject,Repository Name,Clone Status,Primary Language,File Count,Build System,Has Dockerfile,Has Kubernetes,Has CI/CD,Repository Size (KB),Error
myonsite-healthcare/ATS,myonsite-healthcare/ATS,Success,JSON,247,npm,True,,True,83348,
myonsite-healthcare/AutoBidPro,myonsite-healthcare/AutoBidPro,Success,Python,368,"Makefile, requirements.txt",True,True,,11796,
myonsite-healthcare/ComplianceManus,myonsite-healthcare/ComplianceManus,success,JavaScript,13610,"npm, pip",,,True,341592,
myonsite-healthcare/DocuGenie,myonsite-healthcare/DocuGenie,Success,Python,88,pip,True,,True,31,
myonsite-healthcare/Insights,myonsite-healthcare/Insights,Success,Markdown,2862,npm,True,True,True,331776,
myonsite-healthcare/MedinovAI-AI-Standards,myonsite-healthcare/MedinovAI-AI-Standards,Success,Markdown,604,"npm, pip",True,True,True,257788,
myonsite-healthcare/MedinovAI-Chatbot,myonsite-healthcare/MedinovAI-Chatbot,Success,Python,10496,npm,True,,True,622684,
myonsite-healthcare/ai-chatbot,myonsite-healthcare/ai-chatbot,Success,PHP,30,"None detected (PHP project, likely uses Composer but composer.json not found)",True,True,True,14,
myonsite-healthcare/hello-world-claude,myonsite-healthcare/hello-world-claude,Success,YAML,17,None,True,,True,356,
myonsite-healthcare/lis-1.0-silverlight,myonsite-healthcare/lis-1.0-silverlight,Success,C#,2067,MSBuild,True,,,467572,
myonsite-healthcare/lis-iss,myonsite-healthcare/lis-iss,Success,XML,4746,"Dockerfile, Visual Studio Solution",True,True,True,5299.96,
myonsite-healthcare/manus-consolidation-platform,myonsite-healthcare/manus-consolidation-platform,Success,C#,598,"dotnet, pip, poetry",,True,True,704.12,
myonsite-healthcare/medinovai-Developer,myonsite-healthcare/medinovai-Developer,Success,Python,170,pip,True,True,True,35562.85,
myonsite-healthcare/medinovai-Uiux,myonsite-healthcare/medinovai-Uiux,Success,JSX,3039,npm,True,True,True,146508,
myonsite-healthcare/medinovai-audit-trail-explorer,myonsite-healthcare/medinovai-audit-trail-explorer,Success,Python,50,pip,True,,True,320,
myonsite-healthcare/medinovai-consent-preference-api,myonsite-healthcare/medinovai-consent-preference-api,Success,YAML,17,Docker,True,,,316,
myonsite-healthcare/medinovai-data-services,myonsite-healthcare/medinovai-data-services,Success,Python,1469,"pip, pnpm, make, Visual Studio Solution",True,,,76276,
myonsite-healthcare/medinovai-devops-telemetry,myonsite-healthcare/medinovai-devops-telemetry,Success,Python,18,YAML,True,,True,5327588,
myonsite-healthcare/medinovai-edge-cache-cdn,myonsite-healthcare/medinovai-edge-cache-cdn,Success,YAML,50,None,True,,True,316,
myonsite-healthcare/medinovai-encryption-vault,myonsite-healthcare/medinovai-encryption-vault,Success,Python,29,docker,True,,True,428,
myonsite-healthcare/medinovai-feature-flag-console,myonsite-healthcare/medinovai-feature-flag-console,Success,YAML,50,None,True,,True,320,
myonsite-healthcare/medinovai-remote-vitals-ingest,myonsite-healthcare/medinovai-remote-vitals-ingest,Success,YAML,73,Docker,True,,True,456,
myonsite-healthcare/medinovai-test-repo,myonsite-healthcare/medinovai-test-repo,Success,YAML,18,docker-compose,True,True,True,320,
myonsite-healthcare/medinovaios,myonsite-healthcare/medinovaios,Success,Markdown,316405,"npm, pip, gradle",True,True,True,7202600,
myonsite-healthcare/mos-chatbot,myonsite-healthcare/mos-chatbot,Success,Python,72,"pip, make, docker",True,,True,831.14,
myonsite-healthcare/myOnsiteOperationsMonitoringV1,myonsite-healthcare/myOnsiteOperationsMonitoringV1,Success,Python,250,"pip, make, docker",True,True,True,1382,
